,regYear,regMonth,popularity,province,model
24,2018,1,671,上海,02aab221aabc03b9
25,2018,2,764,上海,02aab221aabc03b9
26,2018,3,679,上海,02aab221aabc03b9
27,2018,4,683,上海,02aab221aabc03b9
24,2018,1,1069,上海,04e66e578f653ab9
25,2018,2,623,上海,04e66e578f653ab9
26,2018,3,728,上海,04e66e578f653ab9
27,2018,4,680,上海,04e66e578f653ab9
24,2018,1,315,上海,06880909932890ca
25,2018,2,491,上海,06880909932890ca
26,2018,3,357,上海,06880909932890ca
27,2018,4,331,上海,06880909932890ca
24,2018,1,517,上海,0797526c057dcf5b
25,2018,2,606,上海,0797526c057dcf5b
26,2018,3,457,上海,0797526c057dcf5b
27,2018,4,458,上海,0797526c057dcf5b
24,2018,1,998,上海,12f8b7e14947c34d
25,2018,2,1815,上海,12f8b7e14947c34d
26,2018,3,1443,上海,12f8b7e14947c34d
27,2018,4,1391,上海,12f8b7e14947c34d
24,2018,1,420,上海,17363f08d683d52b
25,2018,2,677,上海,17363f08d683d52b
26,2018,3,309,上海,17363f08d683d52b
27,2018,4,240,上海,17363f08d683d52b
24,2018,1,1338,上海,17bc272c93f19d56
25,2018,2,2174,上海,17bc272c93f19d56
26,2018,3,961,上海,17bc272c93f19d56
27,2018,4,904,上海,17bc272c93f19d56
24,2018,1,780,上海,212083a9246d2fd3
25,2018,2,1080,上海,212083a9246d2fd3
26,2018,3,771,上海,212083a9246d2fd3
27,2018,4,713,上海,212083a9246d2fd3
24,2018,1,522,上海,28e29f2c03dcd84c
25,2018,2,696,上海,28e29f2c03dcd84c
26,2018,3,639,上海,28e29f2c03dcd84c
27,2018,4,646,上海,28e29f2c03dcd84c
24,2018,1,2494,上海,2a2ab41f8f6ff1cb
25,2018,2,2831,上海,2a2ab41f8f6ff1cb
26,2018,3,2265,上海,2a2ab41f8f6ff1cb
27,2018,4,2288,上海,2a2ab41f8f6ff1cb
24,2018,1,485,上海,2d0d2c3403909fdb
25,2018,2,790,上海,2d0d2c3403909fdb
26,2018,3,477,上海,2d0d2c3403909fdb
27,2018,4,454,上海,2d0d2c3403909fdb
24,2018,1,93,上海,346393c2c6305fb1
25,2018,2,112,上海,346393c2c6305fb1
26,2018,3,122,上海,346393c2c6305fb1
27,2018,4,112,上海,346393c2c6305fb1
24,2018,1,949,上海,37aa9169b575ef79
25,2018,2,1102,上海,37aa9169b575ef79
26,2018,3,805,上海,37aa9169b575ef79
27,2018,4,796,上海,37aa9169b575ef79
24,2018,1,450,上海,3c974920a76ac9c1
25,2018,2,690,上海,3c974920a76ac9c1
26,2018,3,286,上海,3c974920a76ac9c1
27,2018,4,227,上海,3c974920a76ac9c1
24,2018,1,1083,上海,3d7554f1f56dd664
25,2018,2,1568,上海,3d7554f1f56dd664
26,2018,3,1159,上海,3d7554f1f56dd664
27,2018,4,1142,上海,3d7554f1f56dd664
24,2018,1,471,上海,3e21824be728cbec
25,2018,2,733,上海,3e21824be728cbec
26,2018,3,503,上海,3e21824be728cbec
27,2018,4,456,上海,3e21824be728cbec
24,2018,1,1415,上海,4a103c30d593fbbe
25,2018,2,2021,上海,4a103c30d593fbbe
26,2018,3,1585,上海,4a103c30d593fbbe
27,2018,4,1530,上海,4a103c30d593fbbe
24,2018,1,45,上海,4f79773e600518a6
25,2018,2,188,上海,4f79773e600518a6
26,2018,3,41,上海,4f79773e600518a6
27,2018,4,0,上海,4f79773e600518a6
24,2018,1,1201,上海,54fc07138d70374c
25,2018,2,1761,上海,54fc07138d70374c
26,2018,3,1025,上海,54fc07138d70374c
27,2018,4,949,上海,54fc07138d70374c
24,2018,1,3,上海,5b1c11c3efed5312
25,2018,2,84,上海,5b1c11c3efed5312
26,2018,3,0,上海,5b1c11c3efed5312
27,2018,4,-48,上海,5b1c11c3efed5312
24,2018,1,1201,上海,5d7fb682edd0f937
25,2018,2,1395,上海,5d7fb682edd0f937
26,2018,3,1478,上海,5d7fb682edd0f937
27,2018,4,1491,上海,5d7fb682edd0f937
24,2018,1,1819,上海,6155b214590c66e6
25,2018,2,2897,上海,6155b214590c66e6
26,2018,3,2344,上海,6155b214590c66e6
27,2018,4,2187,上海,6155b214590c66e6
24,2018,1,199,上海,61e73e32ad101892
25,2018,2,303,上海,61e73e32ad101892
26,2018,3,237,上海,61e73e32ad101892
27,2018,4,231,上海,61e73e32ad101892
24,2018,1,1937,上海,63065128401bb3ff
25,2018,2,2439,上海,63065128401bb3ff
26,2018,3,2018,上海,63065128401bb3ff
27,2018,4,2015,上海,63065128401bb3ff
24,2018,1,2391,上海,6858d6dfe680bdf7
25,2018,2,3046,上海,6858d6dfe680bdf7
26,2018,3,1917,上海,6858d6dfe680bdf7
27,2018,4,1844,上海,6858d6dfe680bdf7
24,2018,1,1328,上海,7023efdab9cedc03
25,2018,2,1647,上海,7023efdab9cedc03
26,2018,3,1669,上海,7023efdab9cedc03
27,2018,4,1634,上海,7023efdab9cedc03
24,2018,1,718,上海,7245e0ee27b195cd
25,2018,2,749,上海,7245e0ee27b195cd
26,2018,3,766,上海,7245e0ee27b195cd
27,2018,4,786,上海,7245e0ee27b195cd
24,2018,1,2867,上海,79de4e4b24c35b04
25,2018,2,4027,上海,79de4e4b24c35b04
26,2018,3,2039,上海,79de4e4b24c35b04
27,2018,4,1937,上海,79de4e4b24c35b04
24,2018,1,648,上海,7a7885e2d7c00bcf
25,2018,2,973,上海,7a7885e2d7c00bcf
