id,province,adcode,model,regYear,regMonth,forecastVolum
1,上海,310000,3c974920a76ac9c1,2018,1,347
2,云南,530000,3c974920a76ac9c1,2018,1,459
3,内蒙古,150000,3c974920a76ac9c1,2018,1,182
4,北京,110000,3c974920a76ac9c1,2018,1,464
5,四川,510000,3c974920a76ac9c1,2018,1,503
6,安徽,340000,3c974920a76ac9c1,2018,1,221
7,山东,370000,3c974920a76ac9c1,2018,1,533
8,山西,140000,3c974920a76ac9c1,2018,1,262
9,广东,440000,3c974920a76ac9c1,2018,1,3131
10,广西,450000,3c974920a76ac9c1,2018,1,461
11,江苏,320000,3c974920a76ac9c1,2018,1,854
12,江西,360000,3c974920a76ac9c1,2018,1,260
13,河北,130000,3c974920a76ac9c1,2018,1,335
14,河南,410000,3c974920a76ac9c1,2018,1,416
15,浙江,330000,3c974920a76ac9c1,2018,1,780
16,湖北,420000,3c974920a76ac9c1,2018,1,519
17,湖南,430000,3c974920a76ac9c1,2018,1,373
18,福建,350000,3c974920a76ac9c1,2018,1,312
19,辽宁,210000,3c974920a76ac9c1,2018,1,696
20,重庆,500000,3c974920a76ac9c1,2018,1,108
21,陕西,610000,3c974920a76ac9c1,2018,1,366
22,黑龙江,230000,3c974920a76ac9c1,2018,1,309
23,上海,310000,3d7554f1f56dd664,2018,1,387
24,云南,530000,3d7554f1f56dd664,2018,1,429
25,内蒙古,150000,3d7554f1f56dd664,2018,1,266
26,北京,110000,3d7554f1f56dd664,2018,1,376
27,四川,510000,3d7554f1f56dd664,2018,1,810
28,安徽,340000,3d7554f1f56dd664,2018,1,514
29,山东,370000,3d7554f1f56dd664,2018,1,1190
30,山西,140000,3d7554f1f56dd664,2018,1,431
31,广东,440000,3d7554f1f56dd664,2018,1,7333
32,广西,450000,3d7554f1f56dd664,2018,1,1028
33,江苏,320000,3d7554f1f56dd664,2018,1,1897
34,江西,360000,3d7554f1f56dd664,2018,1,601
35,河北,130000,3d7554f1f56dd664,2018,1,910
36,河南,410000,3d7554f1f56dd664,2018,1,982
37,浙江,330000,3d7554f1f56dd664,2018,1,1703
38,湖北,420000,3d7554f1f56dd664,2018,1,934
39,湖南,430000,3d7554f1f56dd664,2018,1,879
40,福建,350000,3d7554f1f56dd664,2018,1,1264
41,辽宁,210000,3d7554f1f56dd664,2018,1,1544
42,重庆,500000,3d7554f1f56dd664,2018,1,335
43,陕西,610000,3d7554f1f56dd664,2018,1,499
44,黑龙江,230000,3d7554f1f56dd664,2018,1,733
45,上海,310000,2d0d2c3403909fdb,2018,1,160
46,云南,530000,2d0d2c3403909fdb,2018,1,344
47,内蒙古,150000,2d0d2c3403909fdb,2018,1,303
48,北京,110000,2d0d2c3403909fdb,2018,1,475
49,四川,510000,2d0d2c3403909fdb,2018,1,583
50,安徽,340000,2d0d2c3403909fdb,2018,1,200
51,山东,370000,2d0d2c3403909fdb,2018,1,497
52,山西,140000,2d0d2c3403909fdb,2018,1,208
53,广东,440000,2d0d2c3403909fdb,2018,1,1985
54,广西,450000,2d0d2c3403909fdb,2018,1,234
55,江苏,320000,2d0d2c3403909fdb,2018,1,539
56,江西,360000,2d0d2c3403909fdb,2018,1,168
57,河北,130000,2d0d2c3403909fdb,2018,1,497
58,河南,410000,2d0d2c3403909fdb,2018,1,434
59,浙江,330000,2d0d2c3403909fdb,2018,1,489
60,湖北,420000,2d0d2c3403909fdb,2018,1,366
61,湖南,430000,2d0d2c3403909fdb,2018,1,322
62,福建,350000,2d0d2c3403909fdb,2018,1,177
63,辽宁,210000,2d0d2c3403909fdb,2018,1,604
64,重庆,500000,2d0d2c3403909fdb,2018,1,230
65,陕西,610000,2d0d2c3403909fdb,2018,1,339
66,黑龙江,230000,2d0d2c3403909fdb,2018,1,326
67,上海,310000,a28bb927b6fcb33c,2018,1,115
68,云南,530000,a28bb927b6fcb33c,2018,1,313
69,内蒙古,150000,a28bb927b6fcb33c,2018,1,138
70,北京,110000,a28bb927b6fcb33c,2018,1,62
71,四川,510000,a28bb927b6fcb33c,2018,1,429
72,安徽,340000,a28bb927b6fcb33c,2018,1,300
73,山东,370000,a28bb927b6fcb33c,2018,1,351
74,山西,140000,a28bb927b6fcb33c,2018,1,158
75,广东,440000,a28bb927b6fcb33c,2018,1,3513
