id,group,province,adcode,model,bodyType,regYear,regMonth,forecastVolum
1,A,上海,310000,3c974920a76ac9c1,SUV,2018,1,347
2,A,云南,530000,3c974920a76ac9c1,SUV,2018,1,459
3,A,内蒙古,150000,3c974920a76ac9c1,SUV,2018,1,182
4,A,北京,110000,3c974920a76ac9c1,SUV,2018,1,464
5,A,四川,510000,3c974920a76ac9c1,SUV,2018,1,503
6,A,安徽,340000,3c974920a76ac9c1,SUV,2018,1,221
7,A,山东,370000,3c974920a76ac9c1,SUV,2018,1,533
8,A,山西,140000,3c974920a76ac9c1,SUV,2018,1,262
9,A,广东,440000,3c974920a76ac9c1,SUV,2018,1,3131
10,A,广西,450000,3c974920a76ac9c1,SUV,2018,1,461
11,A,江苏,320000,3c974920a76ac9c1,SUV,2018,1,854
12,A,江西,360000,3c974920a76ac9c1,SUV,2018,1,260
13,A,河北,130000,3c974920a76ac9c1,SUV,2018,1,335
14,A,河南,410000,3c974920a76ac9c1,SUV,2018,1,416
15,A,浙江,330000,3c974920a76ac9c1,SUV,2018,1,780
16,A,湖北,420000,3c974920a76ac9c1,SUV,2018,1,519
17,A,湖南,430000,3c974920a76ac9c1,SUV,2018,1,373
18,A,福建,350000,3c974920a76ac9c1,SUV,2018,1,312
19,A,辽宁,210000,3c974920a76ac9c1,SUV,2018,1,696
20,A,重庆,500000,3c974920a76ac9c1,SUV,2018,1,108
21,A,陕西,610000,3c974920a76ac9c1,SUV,2018,1,366
22,A,黑龙江,230000,3c974920a76ac9c1,SUV,2018,1,309
23,A,上海,310000,3d7554f1f56dd664,Sedan,2018,1,387
24,A,云南,530000,3d7554f1f56dd664,Sedan,2018,1,429
25,A,内蒙古,150000,3d7554f1f56dd664,Sedan,2018,1,266
26,A,北京,110000,3d7554f1f56dd664,Sedan,2018,1,376
27,A,四川,510000,3d7554f1f56dd664,Sedan,2018,1,810
28,A,安徽,340000,3d7554f1f56dd664,Sedan,2018,1,514
29,A,山东,370000,3d7554f1f56dd664,Sedan,2018,1,1190
30,A,山西,140000,3d7554f1f56dd664,Sedan,2018,1,431
31,A,广东,440000,3d7554f1f56dd664,Sedan,2018,1,7333
32,A,广西,450000,3d7554f1f56dd664,Sedan,2018,1,1028
33,A,江苏,320000,3d7554f1f56dd664,Sedan,2018,1,1897
34,A,江西,360000,3d7554f1f56dd664,Sedan,2018,1,601
35,A,河北,130000,3d7554f1f56dd664,Sedan,2018,1,910
36,A,河南,410000,3d7554f1f56dd664,Sedan,2018,1,982
37,A,浙江,330000,3d7554f1f56dd664,Sedan,2018,1,1703
38,A,湖北,420000,3d7554f1f56dd664,Sedan,2018,1,934
39,A,湖南,430000,3d7554f1f56dd664,Sedan,2018,1,879
40,A,福建,350000,3d7554f1f56dd664,Sedan,2018,1,1264
41,A,辽宁,210000,3d7554f1f56dd664,Sedan,2018,1,1544
42,A,重庆,500000,3d7554f1f56dd664,Sedan,2018,1,335
43,A,陕西,610000,3d7554f1f56dd664,Sedan,2018,1,499
44,A,黑龙江,230000,3d7554f1f56dd664,Sedan,2018,1,733
45,A,上海,310000,2d0d2c3403909fdb,SUV,2018,1,160
46,A,云南,530000,2d0d2c3403909fdb,SUV,2018,1,344
47,A,内蒙古,150000,2d0d2c3403909fdb,SUV,2018,1,303
48,A,北京,110000,2d0d2c3403909fdb,SUV,2018,1,475
49,A,四川,510000,2d0d2c3403909fdb,SUV,2018,1,583
50,A,安徽,340000,2d0d2c3403909fdb,SUV,2018,1,200
51,A,山东,370000,2d0d2c3403909fdb,SUV,2018,1,497
52,A,山西,140000,2d0d2c3403909fdb,SUV,2018,1,208
53,A,广东,440000,2d0d2c3403909fdb,SUV,2018,1,1985
54,A,广西,450000,2d0d2c3403909fdb,SUV,2018,1,234
55,A,江苏,320000,2d0d2c3403909fdb,SUV,2018,1,539
56,A,江西,360000,2d0d2c3403909fdb,SUV,2018,1,168
57,A,河北,130000,2d0d2c3403909fdb,SUV,2018,1,497
58,A,河南,410000,2d0d2c3403909fdb,SUV,2018,1,434
