,regYear,regMonth,salesVolume,province,model
24,2018,1,808,上海,02aab221aabc03b9
25,2018,2,627,上海,02aab221aabc03b9
26,2018,3,754,上海,02aab221aabc03b9
27,2018,4,762,上海,02aab221aabc03b9
24,2018,1,1147,上海,04e66e578f653ab9
25,2018,2,377,上海,04e66e578f653ab9
26,2018,3,654,上海,04e66e578f653ab9
27,2018,4,655,上海,04e66e578f653ab9
24,2018,1,361,上海,06880909932890ca
25,2018,2,229,上海,06880909932890ca
26,2018,3,446,上海,06880909932890ca
27,2018,4,448,上海,06880909932890ca
24,2018,1,293,上海,0797526c057dcf5b
25,2018,2,233,上海,0797526c057dcf5b
26,2018,3,504,上海,0797526c057dcf5b
27,2018,4,525,上海,0797526c057dcf5b
24,2018,1,380,上海,12f8b7e14947c34d
25,2018,2,370,上海,12f8b7e14947c34d
26,2018,3,943,上海,12f8b7e14947c34d
27,2018,4,935,上海,12f8b7e14947c34d
24,2018,1,64,上海,17363f08d683d52b
25,2018,2,19,上海,17363f08d683d52b
26,2018,3,73,上海,17363f08d683d52b
27,2018,4,72,上海,17363f08d683d52b
24,2018,1,205,上海,17bc272c93f19d56
25,2018,2,184,上海,17bc272c93f19d56
26,2018,3,237,上海,17bc272c93f19d56
27,2018,4,242,上海,17bc272c93f19d56
24,2018,1,202,上海,212083a9246d2fd3
25,2018,2,130,上海,212083a9246d2fd3
26,2018,3,318,上海,212083a9246d2fd3
27,2018,4,317,上海,212083a9246d2fd3
24,2018,1,844,上海,28e29f2c03dcd84c
25,2018,2,424,上海,28e29f2c03dcd84c
26,2018,3,726,上海,28e29f2c03dcd84c
27,2018,4,729,上海,28e29f2c03dcd84c
24,2018,1,495,上海,2a2ab41f8f6ff1cb
25,2018,2,219,上海,2a2ab41f8f6ff1cb
26,2018,3,482,上海,2a2ab41f8f6ff1cb
27,2018,4,493,上海,2a2ab41f8f6ff1cb
24,2018,1,158,上海,2d0d2c3403909fdb
25,2018,2,102,上海,2d0d2c3403909fdb
26,2018,3,174,上海,2d0d2c3403909fdb
27,2018,4,171,上海,2d0d2c3403909fdb
24,2018,1,18,上海,346393c2c6305fb1
25,2018,2,-20,上海,346393c2c6305fb1
26,2018,3,23,上海,346393c2c6305fb1
27,2018,4,14,上海,346393c2c6305fb1
24,2018,1,100,上海,37aa9169b575ef79
25,2018,2,71,上海,37aa9169b575ef79
26,2018,3,121,上海,37aa9169b575ef79
27,2018,4,125,上海,37aa9169b575ef79
24,2018,1,345,上海,3c974920a76ac9c1
25,2018,2,234,上海,3c974920a76ac9c1
26,2018,3,323,上海,3c974920a76ac9c1
27,2018,4,325,上海,3c974920a76ac9c1
24,2018,1,385,上海,3d7554f1f56dd664
25,2018,2,376,上海,3d7554f1f56dd664
26,2018,3,567,上海,3d7554f1f56dd664
27,2018,4,574,上海,3d7554f1f56dd664
24,2018,1,352,上海,3e21824be728cbec
25,2018,2,155,上海,3e21824be728cbec
26,2018,3,188,上海,3e21824be728cbec
27,2018,4,182,上海,3e21824be728cbec
24,2018,1,424,上海,4a103c30d593fbbe
25,2018,2,369,上海,4a103c30d593fbbe
26,2018,3,689,上海,4a103c30d593fbbe
27,2018,4,702,上海,4a103c30d593fbbe
24,2018,1,27,上海,4f79773e600518a6
25,2018,2,-33,上海,4f79773e600518a6
26,2018,3,-1,上海,4f79773e600518a6
27,2018,4,-6,上海,4f79773e600518a6
24,2018,1,409,上海,54fc07138d70374c
25,2018,2,192,上海,54fc07138d70374c
26,2018,3,319,上海,54fc07138d70374c
27,2018,4,313,上海,54fc07138d70374c
24,2018,1,149,上海,5b1c11c3efed5312
25,2018,2,74,上海,5b1c11c3efed5312
26,2018,3,153,上海,5b1c11c3efed5312
27,2018,4,151,上海,5b1c11c3efed5312
24,2018,1,342,上海,5d7fb682edd0f937
25,2018,2,188,上海,5d7fb682edd0f937
26,2018,3,330,上海,5d7fb682edd0f937
27,2018,4,330,上海,5d7fb682edd0f937
24,2018,1,373,上海,6155b214590c66e6
25,2018,2,152,上海,6155b214590c66e6
26,2018,3,443,上海,6155b214590c66e6
27,2018,4,425,上海,6155b214590c66e6
24,2018,1,233,上海,61e73e32ad101892
25,2018,2,110,上海,61e73e32ad101892
26,2018,3,224,上海,61e73e32ad101892
27,2018,4,213,上海,61e73e32ad101892
24,2018,1,2514,上海,63065128401bb3ff
25,2018,2,1085,上海,63065128401bb3ff
26,2018,3,3090,上海,63065128401bb3ff
27,2018,4,3096,上海,63065128401bb3ff
24,2018,1,600,上海,6858d6dfe680bdf7
25,2018,2,439,上海,6858d6dfe680bdf7
26,2018,3,636,上海,6858d6dfe680bdf7
